         151132274 function calls (130869161 primitive calls) in 108.756 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      156    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/_monitor.py:94(report)
     1560    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
      314    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/utils.py:88(__getattr__)
      314    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:1152(_comparable)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      157    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/utils.py:201(_is_utf)
       10    0.000    0.000    0.000    0.000 {method 'copy_' of 'torch._C._TensorBase' objects}
     1040    0.000    0.000    0.000    0.000 /home/kavi/thesis/Simulator.py:149(get_obs_occupied)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      306    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:605(<lambda>)
      940    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:165(colour)
     1040    0.000    0.000    0.000    0.000 /home/kavi/thesis/Simulator.py:146(get_obs_free)
      314    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:1156(__hash__)
        6    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:250(__init__)
      314    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_weakrefset.py:16(__init__)
      157    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
     1000    0.000    0.000    0.000    0.000 /home/kavi/thesis/Robot.py:189(get_map)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1164(create_module)
       10    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/_utils.py:136(_rebuild_tensor_v2)
        1    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/_monitor.py:30(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
      157    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:1146(__del__)
       10    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/_utils.py:130(_rebuild_tensor)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:186(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:50(__init__)
      314    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_weakrefset.py:52(_commit_removals)
      314    0.000    0.000    0.000    0.000 {built-in method _weakref.proxy}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:914(get_code)
      471    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/std.py:228(__init__)
       10    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/torch/nn/modules/utils.py:8(parse)
       10    0.000    0.000    0.000    0.000 {built-in method empty}
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:834(start)
       10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      157    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
     33/1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/abc.py:100(__subclasscheck__)
     33/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       14    0.000    0.000    0.000    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
      157    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
      157    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:114(_make_name)
       10    0.000    0.000    0.000    0.000 {built-in method tensor}
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:540(wait)
       10    0.000    0.000    0.000    0.000 {built-in method _pickle.dump}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/tempfile.py:283(__next__)
      157    0.000    0.000    0.000    0.000 /home/kavi/.local/lib/python3.8/site-packages/tqdm/utils.py:231(_screen_shape_wrapper)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:270(wait)
